username,currency,prize
tranqhuy86,VND,139
jay29,THB,139
larintorn2513,THB,139
Loantran123,VND,138
7013imj,IDR,138
lenkt90,VND,137
Win0303,VND,137
Quachdat123,VND,137
Kuwait,VND,137
Renaldi74,IDR,136
thaosuong058,VND,136
ledanhduong123,VND,136
nvdung1998,VND,135
905806089,VND,135
haanhquan0911,VND,134
Hoducchung,KRW,134
evergreenxyz,THB,134
973421371,VND,134
Maykojung,THB,134
lavenzo,IDR,134
tandaigia,VND,134
minhkhang1105,VND,133
teolu066,VND,133
Gustiw,IDR,133
hoanglinh94,VND,133
trienovita121055,IDR,133
Minhbo1991,VND,132
miracledust,THB,132
Nguthichet202020,VND,131
SMARTBOY84,VND,131
natchanon909,THB,131
ryura19,IDR,130
mitthanhto86,VND,130
Twolf69,VND,130
zbl8m002,THB,129
phatloc888899,VND,129
truongbgvn,VND,129
attponatp,THB,129
Hnh200286,VND,128
nhatquang2807,VND,128
akekwang253162,THB,128
805besar,IDR,128
tuyen1902,VND,128
Leohuan,VND,128
hanajee,THB,128
Cibinong88,IDR,127
iphone7plus,VND,127
kienkinhte,VND,126
Haidong1999,VND,126
blueocean15601,VND,126
KKduong,VND,126
banjo88,IDR,125
linhdam98,VND,125
ocean789,IDR,125
hoangviet28890,VND,125
badunght97,VND,125
H0123456789,VND,125
Kazero007,VND,125
blackhawk17,VND,125
thaivanlong852,VND,125
Gorro123,IDR,124
Clear16161,THB,124
miewyan,MYR,124
ts00935590,THB,123
leLee79,VND,122
hongnhan07,VND,122
Minhhai221,VND,122
limamike88,IDR,122
kanawath59,THB,122
thsals2004,VND,121
Naigau7979,VND,121
nguyenhuu83,VND,121
Tranminhtu2022,VND,121
niko25,USD-JP,121
Tioaryop69,IDR,121
vuducdung1212,VND,121
osomtuyo,THB,121
DOIAG82,VND,121
nguyennhattien,VND,121
Mapyjr,IDR,120
Handful13,VND,120
HadesVN,VND,120
thanhcm,VND,120
Hungnp1040,VND,119
Ducanh3108,VND,119
beach21,IDR,119
Dadali13,IDR,118
minh126,VND,118
Tlelovies,THB,118
AUTOHIEU,VND,118
Ngocnhan90,VND,117
s0cky0ul0vel3333,VND,117
Vinhlm2,VND,117
zinnai,VND,117
jojunejojoon,THB,117
radenbasri,IDR,117
Kitmongkon22,THB,117
hieu1130,VND,117
Silva1558,VND,116
tientientien2,VND,116
nguyenhoa02,VND,116
mememe11,VND,116
robindat90,VND,116
holethuanh,VND,116
chauthanhtri28,VND,116
Thangvo6886,VND,115
douyen90,VND,115
ryr2688,VND,115
conghieu1234,VND,115
haidang150987,VND,115
wrGaTzFFLY18,IDR,115
Binguyen39,VND,114
Tb180282,VND,114
Vien2879,VND,114
WINNER2679,VND,114
ngochuu1985,VND,114
Maya0001,THB,114
kayis14,IDR,114
tiasang,VND,114
exitclub,THB,114
dengalih,IDR,113
988015773,VND,113
nankinanan,USD-JP,113
Racha23,THB,113
ohm54004,THB,113
s0rry91,VND,113
heoquay009,VND,113
Rush1322,IDR,112
Nnwing23,THB,112
DOGHU01,IDR,112
tungluu1987,VND,112
Tantien21111999,VND,112
zora9999,VND,112
Malboro4747,IDR,112
joyin,IDR,112
Ngyenquocminh123,VND,111
itachi111109,VND,111
Chienthang9009,VND,111
Chippo83,VND,111
Chutchit2021,VND,111
Virulen5,IDR,111
triviet2107,VND,111
kqkq90,VND,111
sanghyunnbyun,KRW,110
Huaphugia123,VND,110
Tonyduongvn87,VND,110
bobo14,THB,109
hung894,VND,109
agdoman489,IDR,109
ballyakuza007,THB,109
lion8,VND,109
Mameaw2323,THB,108
tedomi52,VND,108
Phongba33,VND,108
Sykesss,IDR,108
Nkmuu,VND,108
enabledisconnect,IDR,107
DDHTTH1122,VND,107
Sieubomkinh,VND,107
benz8888,IDR,107
Pai7932,THB,106
Tanbabaca,USD-JP,106
Tuyenhoan,VND,106
aq1605,VND,106
Aloquangthai,VND,106
hung0979541102,VND,106
opuuchy,IDR,106
Tung26,VND,106
suzuran87,IDR,106
Hapk,VND,105
aidsonline,THB,105
Thanh1310,VND,105
Hip67891256,VND,105
phungminh,VND,105
lsw0625,KRW,104
Newyear4290,VND,104
Hoangnam209,VND,104
Asswin89,IDR,104
teeteet0,THB,104
ngonguyenky1992,VND,104
bekreft,IDR,104
Fandy789,IDR,104
Anh0939039633,VND,104
HaiSin,IDR,104
Betthanh94,VND,103
sacradeo27,IDR,103
vinhle1011,VND,103
nguyenmanhtuan94,VND,103
Kimdo0018,VND,103
ballon16888,VND,103
nn0836288858,THB,103
trinhquochung90,VND,103
kjjang,KRW,102
ss9aeaey,THB,102
Cherrycherry1973,VND,102
chudaibi2022,VND,102
binhdn38,VND,102
toey2532,THB,102
Jabslans07,IDR,102
aa1408,THB,102
doanhnhanngheo,VND,101
48H00929,VND,101
Cimod512,IDR,101
Wahyuanggono1234,IDR,101
870611,IDR,101
frog2512,THB,101
minhthiennh,VND,101
kuukkuu,THB,101
lamminh519,VND,100
dhien97,VND,100
Fuad19,IDR,100
Vebothanhcong,VND,100
Tanh101088,VND,100
boyag6666,IDR,100
AAN80,IDR,100
nguyenphuong11,VND,99
Harusmenang80,IDR,99
Nguyenchienhd79,VND,99
jebam88,IDR,99
2271840,VND,99
duydhk68,VND,98
Bikker1235,THB,98
aoasis,THB,98
K7778,VND,98
taruna123,IDR,98
nghoangaat,VND,98
vuthanh041290,VND,98
jeffrix99,IDR,98
cobacobalucky,IDR,98
Nobita1960,VND,97
Hungbth,VND,97
Hongsiausiau,IDR,97
rivald9830,IDR,97
Phan1902,VND,97
Alexander170486,IDR,97
tuanflow,VND,97
trungthaigiam,VND,96
Lucky190920,VND,96
Tcvtcv,VND,96
Natanha408,VND,96
tule686,VND,96
Dothanhnhackct,VND,96
anhluyen,VND,96
chienlucky1414,VND,96
nhan4287,VND,96
ABE123,IDR,96
pairpairva,THB,95
Leenguyen0732,VND,95
Tinhnguyen12355,VND,95
Chichky161990,VND,95
Buoncuaanh68,VND,95
tatdat1979,VND,95
luanvu1990,VND,95
Bebot93,VND,94
phamgia161,VND,94
Chihung197879,VND,93
Arifhan1708,IDR,93
Danh2002,VND,93
porch888,THB,93
ing1975,THB,93
nnnvvvlll,VND,93
winseven7,THB,93
delpiwin,IDR,93
Banhbo222,VND,92
